"code","title","cnt_vote","cnt_review_before","cnt_review_after","director_weight","distributor_weight","total"
93756,"명량",66797,1682,63992,336.576324347166,696.286931730838,17615054
102875,"국제시장",41146,1237,39367,244.446944287877,696.286931730838,14262199
115977,"베테랑",40544,691,38684,102.1821188,696.286931730838,13414200
78726,"도둑들",20841,704,19976,146.678958382277,873.539505936061,12983821
121048,"암살",40441,918,38516,146.678958382277,873.539505936061,12705783
83893,"광해, 왕이 된 남자",27556,278,26511,235.470004508084,696.286931730838,12323555
101901,"변호인",93776,26720,91710,217.34301270606,358.482932798446,11374861
45321,"해운대",25707,1235,25650,244.446944287877,581.60000686655,11324545
98438,"어벤져스: 에이지 오브 울트론",31070,2891,29609,167.851884929482,949.797434244477,10494499
45290,"인터스텔라",49295,815,46879,106.474512643557,478.270420973647,10304503
100931,"겨울왕국",37100,1075,34908,196.730809322934,529.352914654731,10296101
130903,"검사외전",27212,748,26181,185.468883479532,873.539505936061,9706697
62328,"설국열차",37694,4350,35506,58.9015025878837,696.286931730838,9350323
93728,"관상",14559,1590,13170,174.560614865188,873.539505936061,9135802
122527,"캡틴 아메리카: 시빌 워",36244,1148,35477,165.777002863427,949.797434244477,8676103
102817,"해적: 바다로 간 산적",25556,1667,24285,156.927155366257,305.318616119918,8666208
107924,"수상한 그녀",20539,1489,19216,165.452083030906,696.286931730838,8659098
51143,"과속스캔들",31585,741,31527,124.845345586187,305.318616119918,8223342
100647,"히말라야",20509,559,19796,156.927155366257,696.286931730838,7759667
76016,"써니",17851,514,17716,124.845345586187,696.286931730838,7363010
89218,"베를린",20137,1243,18894,102.1821188,696.286931730838,7166473
98438,"어벤져스",31070,2891,29609,167.851884929482,760.094997199678,7074889
121788,"내부자들",24192,1318,23099,87.473577888692,873.539505936061,7072057
121051,"곡성",44166,820,42651,131.119549781349,394.608711052219,6862271
58018,"화려한 휴가",24009,1743,23957,130.988893985126,581.60000686655,6855433
65674,"좋은 놈, 나쁜 놈, 이상한 놈 ",19699,816,19659,42.5841785910883,581.60000686655,6686007
88253,"늑대소년",34611,1168,33433,51.5049301367841,696.286931730838,6655061
72054,"다크 나이트 라이즈",25091,1806,24209,106.474512643557,478.270420973647,6396615
121922,"사도",20861,560,19632,44.7796010426436,873.539505936061,6247085
71509,"아저씨",27321,626,27180,64.7926832084461,581.60000686655,6178569
114249,"킹스맨 : 시크릿 에이전트",22129,168,20239,117.121724429608,394.608711052219,6129681
95541,"미션 임파서블: 로그네이션",14553,409,13637,117.060714783901,305.318616119918,6126488
48227,"전우치",19541,985,19484,146.678958382277,581.60000686655,6065474
102272,"연평해전",29295,5279,28259,115.497736700973,358.482932798446,6044688
89755,"레미제라블",22373,632,20841,43.7088158402701,212.601759777925,5919740
57723,"타짜",8522,6,8454,146.678958382277,581.60000686655,5685559
67786,"쥬라기 월드",17978,899,16698,105.984282720806,212.601759777925,5546792
120157,"검은 사제들",21055,523,19828,103.992555674518,696.286931730838,5442553
80866,"완득이",9450,727,9352,50.9563019009024,696.286931730838,5311306
100691,"트랜스포머: 사라진 시대",17182,3555,16163,51.9886540199596,696.286931730838,5295801
73411,"쿵푸팬더 2",4014,621,3973,96.7746349939222,696.286931730838,5064796
115622,"인사이드 아웃",17801,166,16239,94.9562685851208,949.797434244477,4969630
129049,"마션",15380,622,14138,24.4366961081824,394.608711052219,4881865
130013,"님아, 그 강을 건너지 마오",15198,192,14383,91.7498324231115,371.799132089589,4801818
99752,"군도: 민란의 시대",25925,1750,24612,91.2458388669575,873.539505936061,4775441
130850,"주토피아",17477,687,16669,89.8627752293697,949.797434244477,4703057
90589,"엣지 오브 투모로우",16358,366,15221,89.7911228111425,478.270420973647,4699307
91031,"신세계",20446,585,19274,61.5754609690797,358.482932798446,4682492
97692,"쿵푸 팬더",9457,222,9035,88.9305103926441,581.60000686655,4654266
66381,"맘마미아!",5748,119,5676,87.4778388191626,212.601759777925,4578239
39436,"말아톤",5040,188,5021,80.1906923489035,873.539505936061,4196859
123519,"아가씨",21595,447,20979,31.1750914188556,696.286931730838,4153720
93028,"용의자",10331,931,9612,78.9387621903272,873.539505936061,4131338
88426,"건축학개론",14417,571,14100,78.5737170035993,305.318616119918,4112233
67769,"타짜-신의 손",15610,3474,14842,124.845345586187,459.641857479171,4015361
99740,"혹성탈출: 반격의 서막",12459,356,11563,76.4781608264722,394.608711052219,4002560
97692,"쿵푸팬더3",9457,222,9035,76.1387385445023,696.286931730838,3984796
123596,"조선명탐정 : 사라진 놉의 딸",8465,314,7854,73.9837968431486,873.539505936061,3872015
77768,"매드 맥스: 분노의 도로",18653,257,17395,73.9652627509672,478.270420973647,3871045
108225,"역린",17094,1285,16091,73.5527167877825,305.318616119918,3849454
118917,"인턴",13178,142,11921,68.9911900922613,478.270420973647,3610722
135843,"귀향",20400,1492,19834,34.6005324010383,198.752787277008,3586366
107373,"신의 한 수",11767,494,10828,68.152799477069,873.539505936061,3566844
87571,"부러진 화살",7330,291,7251,16.5435784494173,358.482932798446,3459879
109778,"끝까지 간다",13994,997,13116,34.7407514066809,873.539505936061,3450305
96379,"비긴 어게인",17863,454,16196,26.8409130695413,46.0350488569518,3429806
92075,"어바웃 타임",13103,296,11452,23.667335114255,212.601759777925,3395854
75426,"데드풀",14742,1385,14049,63.3824680811781,394.608711052219,3317184
100072,"스타워즈: 깨어난 포스",12633,614,12054,38.0036464897013,949.797434244477,3273873
109905,"분노의 질주: 더 세븐",9309,733,8591,32.0195486054578,212.601759777925,3247955
69956,"터미네이터 제니시스",9357,1300,8723,61.9147590535247,305.318616119918,3240370
47370,"그래비티",12867,589,11545,30.8371658762887,478.270420973647,3227647
38766,"친절한 금자씨",8656,915,8602,31.1750914188556,581.60000686655,3120195
123277,"스물",9029,818,8245,29.1250361195788,358.482932798446,3044832
76020,"드래곤 길들이기 2",9457,682,9047,53.2322916053331,696.286931730838,3000115
47701,"마더",8959,361,8897,58.9015025878837,581.60000686655,2979751
74315,"고지전",10228,552,10153,28.139672064119,873.539505936061,2945151
119430,"엑스맨: 아포칼립스",13180,762,12785,56.0738832073855,394.608711052219,2934682
50869,"워낭소리",6455,361,6414,56.0691637014383,18.0367416151917,2934435
122120,"극비수사",7387,237,6662,54.6619293147686,873.539505936061,2860786
92064,"앤트맨",8485,417,7738,54.2990623615548,949.797434244477,2841795
